Datetime,NAV
2018-10-10 16:00:00,"101104.1411"
2018-10-11 08:00:00,"110448.7024"
2018-10-11 09:00:00,"110339.4433"
2018-10-11 11:00:00,"109442.8595"
2018-10-11 12:00:00,"109030.8069"
2018-10-11 13:00:00,"107119.8211"
2018-10-11 14:00:00,"106937.5427"
2018-10-11 15:00:00,"107853.2297"
2018-10-11 16:00:00,"115615.9963"
2018-10-12 09:00:00,"121078.646"
2018-10-12 10:00:00,"120642.0472"
2018-10-12 11:00:00,"120166.3897"
2018-10-12 13:00:00,"120062.9203"
2018-10-12 14:00:00,"120675.0471"
2018-10-12 15:00:00,"122045.9224"
2018-10-12 16:00:00,"122372.1436"
2018-10-15 08:00:00,121083.7014
2018-10-15 09:00:00,121395.0753
2018-10-15 10:00:00,120866.5506
2018-10-15 11:00:00,120929.6335
2018-10-15 12:00:00,120610.3155
